Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('agenesia', 'vaginal', '.')|3|2|3|1172|0.4|0.0017035775127768314|0.40170357751277685|15.252916699663219|0.6723157020411594|0.2700716227279479|
vivencia|1|1|24|1173|0.04|0.0008517887563884157|0.04085178875638842|12.930988604775855|-0.1579353204447486|-0.006451940347981382|
('lo', 'biopsia', 'selectivo')|3|3|49|1171|0.057692307692307696|0.002555366269165247|0.060247673961472945|11.874405076409488|-0.5357375257324619|-0.03227693977925559|
('preoperatorio', 'de', 'lo')|3|1|20|1173|0.047619047619047616|0.0008517887563884157|0.04847083637543603|13.18252737177182|-0.06799269088912675|-0.003295662594812463|
('uretra', 'anterior', '?')|3|1|3|1173|0.25|0.0008517887563884157|0.2508517887563884|15.57484479455058|0.7874274191247749|0.19752757660327616|
('y', 'dorsal', '.')|3|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
('reparación', 'con', 'tubo')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('atrofia', 'hemifacial')|2|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('y', 'notching')|2|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5782625808987173|0.09686965438110255|
('lo', 'enfermedad', 'tromboembólica')|3|2|248|1172|0.008|0.0017035775127768314|0.009703577512776831|9.609060509888494|-1.345755995631802|-0.013058647616897349|
('sarcoma', 'y')|2|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
usuario|1|1|644|1173|0.0015503875968992248|0.0008517887563884157|0.0024021763532876403|8.241689444239963|-1.8346863926893426|-0.004407240268216941|
('contribución', 'al', 'arte')|3|1|7|1173|0.125|0.0008517887563884157|0.12585178875638842|14.57484479455058|0.42985776642362894|0.0540983688152395|
('lo', 'sustitución', 'vesical')|3|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5782625808987173|0.09686965438110255|
('cirugía', 'mamarrio')|2|1|11|1173|0.08333333333333333|0.0008517887563884157|0.08418512208972175|13.989882293829424|0.22069292819757136|0.01857906110465074|
articulores|1|1|12|1173|0.07692307692307693|0.0008517887563884157|0.07777486567946534|13.874405076409488|0.17940177966982992|0.013952949316478058|
